階段,城市編號,城市英文,城市中文,描述,提示1,提示2,提示3
2,F,Najera,納赫拉,納赫拉曾是納瓦拉王國的重要城鎮，位於納赫里利亞河谷中，被紅色山巒環抱。聖瑪麗亞皇家修道院是此地亮點，修道院古蹟與歷史氛圍為徒步添加文化深度。,【修道院】參觀聖瑪麗亞皇家修道院,【山谷漫步】河谷間散步放鬆,【能量食】嚐試當地家常料理
2,G,Granon,格拉農,這是一個典型的朝聖路小村，庇護所環境親切且旅人容易交朋友。村內餐館與小店提供基本補給，是結束長距離徒步後修整步伐、放慢節奏的好地方。,【社交時刻】與其他朝聖者聊天,【餐後放鬆】小店享地道餐飲,【歷史觀察】欣賞村落古建築
3,A,Burgos,布爾戈斯,布爾戈斯是西班牙北部重要城市，擁有世界級哥德式聖瑪麗亞大教堂，雕刻精細、彩窗耀眼，是必訪地標。城市資源豐富，是檢查裝備、補給水食與休整的理想地點。,【大教堂卡片】拍主教堂全景,【補給背包】檢查鞋襪與急救用品,【明信片】寄給家人留念
3,B,Hontanas,翁塔納斯,翁塔納斯隱藏在一片平原起伏中，是梅塞塔高原段的典型村落。清晨與黃昏的光影變化非常美，村內庇護所環境乾淨，是旅人補充能量的好處。,【太陽帽】高原遮陽必備,【水袋滿】上路前裝滿水,【雲海照】留意早晚雲霧
3,C,Boadilla del Camino,博阿迪亞小鎮,博阿迪亞位於平原路段，游泳池是夏季朝聖者的救贖。這裡有著名的司法柱古蹟，可以稍作停留了解當地文化，並在庭院放鬆恢復體力。,【泳圈】泳池放鬆雙腿,【能量棒】補充熱量,【陰影停】找陰涼處休息
3,D,Carrión de los Condes,康迪斯城,康迪斯是一個帶有靈性氛圍的小鎮，提供安靜的單人房與教堂歌聲，在長途徒步後能讓身心靈同時得到修復。進入前請先採買補給。,【靜心言】傍晚聽歌聲,【補給包】備好水食,【筆記本】寫下心情
3,E,Sahagún,薩阿貢,薩阿貢被視為法蘭西之路的地理中點，擁有豐富泥磚建築與歷史遺跡，也提供洗衣與囊補服務，是整理心情與裝備的重要站點。,【中點證】記得領證書,【洗衣計】清洗衣物,【延展操】伸展避免僵硬
3,F,Reliegos,雷列戈斯,雷列戈斯是高原的小型休息站，附近有知名酒吧與當地雜貨可補給。晚霞很美，是前往萊昂前放慢腳步、享受光影時刻的好地方。,【夕陽照】留影紀念,【能量食】補充熱量,【放空法】放鬆心情
3,G,León,萊昂,萊昂是段落終點大城市，以彩色玻璃主教教堂聞名，城市有豐富餐飲與戶外用品店，是調整裝備、換鞋與休整的核心。建議安排休息日，修復體力。,【玻璃窗】教堂內觀光,【鞋墊換】必要時更換,【城市漫步】感受街景
4,A,Hospital de Órbigo,奧爾比戈醫療橋鎮,奧爾比戈以中世紀石橋聞名，漫步古橋可以感受到悠久歷史。當地小道與教會氣氛祥和，是山區段的一個調整站。,【橋上照】紀念拍照,【慢步鞋】石板路保護腳,【河畔風】靠近河邊降溫
4,B,El Ganso,埃爾甘索,埃爾甘索是一個荒野風格小村，特色是當地店貓與簡樸風情。補給點較少，建議提前在大站備足乾糧與水，安靜的環境適合慢行放鬆。,【貓咪伴】逗逗店貓,【乾糧備】帶足補給,【慢行術】悠閒步伐
4,C,Riego de Ambros,里埃戈安布洛斯,這裡緊鄰鐵十字架，是進入山區後的高海拔停靠點。碎石下坡多，對膝蓋負擔大，正確使用登山杖與護膝非常重要。,【護膝帶】保護膝蓋,【登山杖】減輕膝關節,【慢步法】穩步下坡
4,D,Cacabelos,卡卡貝洛斯,卡卡貝洛斯是著名的葡萄酒產區小鎮，超市裡酒類便宜優質，住宿區獨特且靠近教堂，適合休息與文化探索，是山區到綠色段的轉折點。,【葡萄酒】適量品嘗,【陰涼處】午後避陽,【補給袋】補充水與零食
4,E,Villafranca del Bierzo,比耶索堡,此地被稱為「小聖地牙哥」，歷史建築精美，是挑戰下一高海拔前的重要補給地。建議留宿休息，為綠色加利西亞段儲備能量。,【小教堂】參觀留念,【休息日】補充體力,【能量餐】高蛋白飲食
5,A,La Laguna,拉拉古納,拉拉古納位於山腰，以壯觀雲海聞名，早晨可見山巒被雲霧圍繞，有如仙境。此地晚餐份量充足，旺季要提早抵達以免無床位。,【雲海照】留影紀念,【排隊術】早到房間,【防寒衣】溫差防備
5,B,Triacastela,特里亞卡斯特拉,從 O Cebreiro 石屋村下山後抵達，凱爾特風格的石屋如同魔戒場景。可選擇經過 Samos 修道院的路線，享受樹林與歷史教堂風光。,【路線選】選Samos更美,【護膝帶】下坡保護,【森林步】享受林蔭
5,C,Sarria,薩里亞,薩里亞是最後100公里起點，朝聖者人潮暴增。此地有豐富商店與餐館，是申領證書條件的重要站點，暑期請提前預訂乾淨庇護所。,【章章記】每天蓋兩章,【人潮避】避開尖峰時間,【水分控】時刻補水
5,D,Portomarín,波多馬林,波多馬林坐落在米尼奧河畔，整個城鎮曾從水庫底搬遷上來，入口長階梯是必經挑戰。當地杏仁餅（Tarta de Santiago）是經典甜點。,【階梯挑戰】慢步上階,【河畔照】留影美景,【甜點時】品嚐杏仁餅
5,E,Melide,梅利德,梅利德是加利西亞章魚料理名城，章魚搭配橄欖油與香料是必嚐美食。鎮上超市與餐館完善，是朋友聚餐與補給的好站。,【章魚宴】必嚐當地料理,【足部放鬆】餐後泡腳,【補給袋】買水與零食
5,F,A Rua,阿魯阿,阿魯阿是抵達聖地牙哥前最後一站，環境寧靜乾淨，是整理心情與裝備的好地方。今晚提早入睡，準備明晨出發。,【夜景照】星空留念,【睡眠罩】好眠充電,【水袋滿】補水再出發
5,G,Santiago de Compostela,聖地牙哥·德孔波斯特拉,聖地牙哥是終極目標城市，其大教堂為朝聖路靈魂所在。建議參加中午彌撒與大香爐體驗，完成壯舉後留宿兩晚體驗城市文化。,【大香爐】彌撒必看,【證書照】拍攝留念,【休整日】至少留宿兩晚
6,A,Negreira,內格雷拉,內格雷拉是離開聖地牙哥後的第一站，森林路徑涼爽，田野與牧場景色交織，適合重新找回徒步初心與平靜心情。,【森林步】放慢心率,【草地仰】躺草地放鬆,【心情寫】旅程記述
6,B,Santa Marina,聖塔馬麗娜,聖塔馬麗娜是典型鄉村地帶，人煙稀少，能品嚐家庭式料理，感受加利西亞農村最樸實的熱情。,【慢步觀察】感受鄉村,【家常菜】品嘗農家料理,【靜心冥想】聽鳥鳴
6,C,Hospital,霍斯皮塔爾,Hospital 是通往 Fisterra 與 Muxia 的分岔點，生活條件簡單，無 Wi‑Fi 是體會徒步純粹的一刻，建議放下手機尋回內心節奏。,【無網時刻】放下手機,【觀景台】高處看地平線,【故事本】記下感悟
6,D,Fisterra,菲尼斯特雷,菲尼斯特雷是古羅馬人眼中的世界盡頭，0.00km 里程碑面對大西洋壯觀海景，落日象徵重生與完成旅程的終極瞬間。,【落日儀式】看大西洋,【海風衣】風大保暖,【海邊沙】坐沙灘感受
6,E,Cabo Fisterra,菲斯特拉海角,菲斯特拉海角直面大西洋，強勁海風吹拂壯闊峭壁，是整趟旅程最自然震撼的段落，自然景觀壯美令人深刻。,【海角照】燈塔留影,【外套準】防寒保暖,【自然療癒】聽海浪
6,F,Muxia,穆希亞,Muxia 海岸更為狂野，巨浪拍岸，是完美旅程結尾。住宿現代乾淨，礁石上坐著聽海浪聲，是回顧整趟旅程的好位置。,【浪聲日記】聽波寫下,【證書留念】拍證書照,【回程票】提前購買
