StageID,CityNo,CityEN,CityCN,Description,Tip1,Tip2,Tip3
2,F,Najera,納赫拉,紅色山巒環繞河谷，聖瑪麗亞修道院富含歷史文化。,🏛️ 參觀修道院,🌿 河谷散步,🍲 品嚐家常料理
2,G,Granon,格拉農,典型朝聖小村，庇護所親切，適合社交與放慢節奏。,🗣️ 與朝聖者交流,🍞 小店補給,🏘️ 欣賞古建築
3,A,Burgos,布爾戈斯,西班牙北部重要城市，擁有世界級哥德式聖瑪麗亞大教堂。城市補給完整，非常適合休整與檢查裝備。,⛪ 大教堂全景拍照,🎒 檢查鞋襪與急救用品,📮 寄明信片回家
3,B,Hontanas,翁塔納斯,隱藏於梅塞塔高原起伏中的小村，清晨與黃昏光影極美，庇護所乾淨舒適。,🧢 高原遮陽帽,💧 出發前裝滿水袋,🌄 留意晨昏雲霧
3,C,Boadilla del Camino,博阿迪亞,平原路段的休息小鎮，夏季游泳池是救贖，司法柱古蹟值得一看。,🏊 泳池放鬆雙腿,🍫 補充能量,🌳 找陰涼處休息
3,D,Carrión de los Condes,卡里翁-德洛斯孔德斯,帶有靈性氛圍的小鎮，教堂歌聲療癒身心，進鎮前記得補給。,🎶 傍晚聽教堂歌聲,🥪 備好水與食物,📔 寫下心情
3,E,Sahagún,薩阿貢,法蘭西之路地理中點，泥磚建築與洗衣補給服務完善。,📜 領取中點證書,🧺 清洗衣物,🧘 伸展避免僵硬
3,F,Reliegos,雷列戈斯,高原小休息站，晚霞非常漂亮，是前往萊昂前放慢腳步的好地方。,🌇 夕陽留影,🍲 補充熱量,😌 放鬆心情
3,G,León,萊昂,大城市段落終點，彩窗主教堂聞名，戶外用品店齊全，建議安排休息日。,🌈 欣賞彩窗教堂,👟 必要時更換鞋墊,🏙️ 城市漫步
4,A,Hospital de Órbigo,奧爾比戈,以中世紀石橋聞名，河畔氣氛祥和，是山區前的調整站。,🌉 古橋拍照,👟 石板路慢行,🌬️ 河邊降溫
4,B,El Ganso,埃爾甘索,荒野風格小村，補給點少，環境安靜適合慢行。,🐱 逗逗店貓,🥖 提前準備乾糧,🚶 悠閒步伐
4,C,Riego de Ambros,里埃戈安布羅斯,緊鄰鐵十字架，高海拔碎石下坡多，對膝蓋負擔大。,🦵 護膝保護,🥾 使用登山杖,🐢 穩步下坡
4,D,Cacabelos,卡卡貝洛斯,著名葡萄酒產區小鎮，住宿靠近教堂，是山區轉綠色段的轉折點。,🍷 適量品酒,🌳 午後找陰涼處,🎒 補充水與零食
4,E,Villafranca del Bierzo,比耶索堡,被稱為小聖地牙哥，歷史建築精美，是進入加利西亞前的重要休息站。,⛪ 參觀小教堂,🛌 安排休息日,🍗 高蛋白飲食
5,A,La Laguna,拉拉古納,山腰小鎮以雲海聞名，早晨景色如仙境，溫差大需注意保暖。,☁️ 雲海拍照,⏰ 早到確保床位,🧥 注意保暖
5,B,Triacastela,特里亞卡斯特拉,石屋村落如魔戒場景，可選擇經 Samos 修道院的林蔭路線。,🗺️ 選 Samos 路線,🦵 下坡護膝,🌲 享受森林步道
5,C,Sarria,薩里亞,最後100公里起點，人潮增加，補給與住宿選擇多。,📓 每天蓋兩章,🚶 避開人潮尖峰,💧 持續補水
5,D,Portomarín,波多馬林,米尼奧河畔小鎮，入口長階梯具挑戰，杏仁餅是經典甜點。,🪜 慢步上階梯,🌊 河畔拍照,🍰 品嚐杏仁餅
5,E,Melide,梅利德,加利西亞章魚料理名城，餐館與超市完善。,🐙 品嚐章魚料理,🦶 餐後泡腳,🛍️ 補給水與零食
5,F,A Rua,阿魯阿,抵達聖地牙哥前最後休息站，環境安靜適合早睡。,🌌 夜景留念,😴 充足睡眠,💧 出發前補水
5,G,Santiago de Compostela,聖地牙哥-德孔波斯特拉,終點城市，大教堂為靈魂所在，建議停留兩晚感受城市文化。,⛪ 參加彌撒看大香爐,📜 拍證書照,🛌 至少休息兩晚
6,A,Negreira,內格雷拉,離開聖地牙哥後第一站，森林與牧場交織，重新找回徒步初心。,🌲 森林慢步,🌿 草地放鬆,✍️ 記錄心情
6,B,Santa Marina,聖塔馬里納,典型加利西亞鄉村，能品嚐家庭式料理，體驗純樸熱情。,🏡 感受鄉村節奏,🍲 品嚐家常菜,🧘 靜心聽鳥鳴
6,C,Hospital,奧斯皮塔爾,通往 Fisterra 與 Muxia 的分岔點，條件簡單，是放下手機的好時機。,📵 放下手機,🔭 觀景台遠望,📖 記下感悟
6,D,Fisterra,菲尼斯特雷,古羅馬人眼中的世界盡頭，0.00km 里程碑面對壯觀大西洋。,🌅 觀看日落儀式,🧥 海風注意保暖,🏖️ 坐沙灘感受
6,E,Cabo Fisterra,菲斯特拉海角,直面大西洋峭壁，海風強勁，自然景觀震撼。,🗼 燈塔拍照,🧥 外套防寒,🌊 聽海浪療癒
6,F,Muxia,穆希亞,狂野海岸與巨浪拍岸，完美旅程結尾，適合回顧整段旅程。,🌊 聽浪寫日記,📜 拍證書照,🎫 提前購買回程票
